,course_name,instructor,course description,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,course_flag,students_count,len descreption,amount of discount
4079,Pandas Masterclass 2022: Advanced Data Analysis with Pandas,Data Is Good Academy,"Master Pandas library to Analyze, Manipulate & Visualize Big Data. Data Analysis with Pandas using Multiple Projects",4.8,179,9.0,72,All Levels,199.99,229.99,Normal,22212.0,116,30.0
4080,The Ultimate Hands-On Flutter & MVVM - Build Real Projects,Mohammad Azam,Learn the Art of Building Modern Flutter Applications,4.8,179,9.0,84,All Levels,269.99,1299.99,Normal,1098.0,53,1030.0
4081,Mobile App Development: Make iOS & Android Apps Without Code,Cameron Wills,Quickly produce quality iOS and Android apps without learning any code.,2.9,179,1.5,20,All Levels,229.99,1199.99,Normal,1939.0,71,970.0
4082,Test and improve your Java skills,"StudyEasy Organisation, Chaand Sheikh",Great course to improve Java skills and it will help you in your Java interview for Java related questions,4.1,179,2.0,72,Beginner,269.99,349.99,Normal,8271.0,106,80.0
4083,C++ Complete Course For Beginners,Edcorner Learning,Learn C++ Complete with good examples & scenarios.,3.3,179,14.0,49,Beginner,229.99,1199.99,Normal,20698.0,50,970.0
4084,The Complete SwiftUI Developer Course,"Codestars • over 2 million students worldwide!, Atil Samancioglu",Build real apps like WhatsApp Clone & Catch The Kenny game with SwiftUI and learn creating stunning user interfaces!,4.6,179,9.0,76,All Levels,229.99,1199.99,Normal,1762.0,116,970.0
4085,PineScript Indicator Development,Kevin Dostalek,Create Custom Chart Indicators Using TradingView PineScript,4.6,178,4.5,22,Beginner,269.99,849.99,Normal,846.0,59,580.0
4086,BlackBelt PHP and MySQL Skills for Creating Dynamic Websites,OnlyKiosk Tech,Learning how to create programs that are safe and efficient enough to survive in real life from ground zero.,4.5,178,23.5,186,All Levels,229.99,849.99,Normal,1393.0,108,620.0
4087,NativeScript 101: A Quickstart to Building Mobile Apps,Nic Raboy,A quickstart to learning how to make great looking Android and iOS apps in no time using NativeScript.,4.4,178,2.5,25,Beginner,269.99,269.99,Normal,1532.0,102,0.0
4088,JavaScript : Understanding all the parts,"Flipbell IT Studio, Saksham Choudhary",Javascript is one the most demanded web programming language of this year! Buy the course and learn Javascript now,4.0,178,3.0,66,All Levels,269.99,479.99,Normal,3774.0,114,210.0
4089,Complete MySQL DBA Training on Linux,"Imran Afzal, Abbas Mehmood",MySQL DBA Training to get your Dream IT Job,4.5,178,28.0,130,All Levels,229.99,1199.99,Normal,3246.0,43,970.0
4090,"Databases with Python: MySQL, SQLite & MongoDB with Python","SDE Arts | Octavo, Ahmed Ibrahim",Learn and understand how to work with SQL and NoSQL Databases with the Python Programming Language.,4.3,178,3.0,47,All Levels,229.99,749.99,Normal,33829.0,99,520.0
4091,A/B Testing in Python,"365 Careers, Anastasia K","Learn How To Define, Start, And Analyze The Results Of An A/B Test. Improve Business Performance Through A/B Testing",4.2,178,3.0,27,All Levels,229.99,1199.99,Normal,1413.0,116,970.0
4092,Creating a Node Based Editor in Unity 3D,Gametutor :-),"Learn how to build your own custom Node Based editor directly inside of the Unity Editor, step by step.",4.7,178,4.5,21,Intermediate,229.99,229.99,Normal,665.0,103,0.0
4093,Quantum Computing with Qiskit Ultimate Masterclass,Srinjoy Ganguly,Master the Concepts of Quantum Computing & Gain Hands-On Experience with IBM Qiskit for Quantum Programming,4.2,178,17.0,268,Beginner,199.99,229.99,Normal,13527.0,107,30.0
4094,Complete DevOps Gitlab & Kubernetes: Best Practices Bootcamp,"Syed Raza, ClayDesk E-learning, Qasim Shah, Syed Ali",Learn Complete Auto DevOps implementation with Gitlab & Kubernetes: Best Practices Bootcamp! All hands-on course,3.6,178,2.5,19,All Levels,229.99,1199.99,Normal,7625.0,112,970.0
4095,Apache Kylin : Implementing OLAP on the Hadoop platform,Michael Enudi,Building and querying online analytical processing data (OLAP) big data structures in your hadoop platform,4.0,178,6.0,43,Intermediate,199.99,229.99,Normal,901.0,106,30.0
4096,Android 50: Crash Course into Android Development,Safa Orhan,An Android course that will build the ground knowledge. Tailored for non-programmers and extreme beginners.,4.7,178,5.0,45,Beginner,269.99,1299.99,Normal,23727.0,107,1030.0
4097,Alexa Essential Training  (updated Feb 2019),Shreya Vakil,Use Alexa CLI & SDK v2 to build several complete Alexa games & business skills from scratch. (No Device needed),3.7,178,10.0,147,All Levels,199.99,229.99,Normal,3217.0,111,30.0
4098,Learn Python Programming in 80 minutes with examples (2020).,Ibrahim Jamil,"A direct, to the point and simple course, help you to quickly understand python, write code and create programs.",3.6,178,1.5,14,Beginner,199.99,229.99,Normal,7562.0,112,30.0
4099,AWS Serverless REST APIs for Java Developers. CI/CD included,Sergey Kargopolov,"Build Serverless REST APIs with Java. AWS Lambda, Amazon API Gateway, AWS SAM, AWS Developer Tools.",4.5,178,14.5,237,Beginner,199.99,229.99,Normal,2510.0,99,30.0
4100,Technical Web Testing 101,Alan Richardson,"Introducing the tools, techniques and thought processes that help you become more technical, and test more thoroughly.",4.0,178,12.0,133,All Levels,199.99,229.99,Normal,9642.0,118,30.0
4101,Kick off your gaming QA career: basics of testing for games,Nikolina Finska,Learn how to professionally test games and software! This course is great tool for QA professionals and beginners alike.,4.8,178,6.5,13,Beginner,229.99,449.99,Normal,696.0,120,220.0
